order_id,customer_id,customer_name,email,order_date,ship_date,product_id,product_name,category,region,city,quantity,unit_price,discount,revenue,payment_method,customer_segment,rating,is_shipped,is_price_outlier,is_return,order_year,order_month,order_quarter,order_month_name,order_day_of_week,revenue_per_unit,customer_ltv
ORD001000,CUST00179,William Villanueva,lewischristopher@example.org,2023-10-09,2023-10-13 00:00:00.000000000,PROD674,Persevering optimal methodology,Electronics,North,Chicago,2,407.64,0.1,733.75,Credit Card,Returning,4.0,1,0,0,2023,10,4,Oct,Monday,366.88,8793.36
ORD001001,CUST00866,Juan Lambert,kimberlyhendrix@example.net,2024-08-26,2024-08-31 00:00:00.000000000,PROD199,Business-focused well-modulated open architecture,Books,South,New Orleans,1,456.49,0.0,456.49,PayPal,Returning,3.0,1,0,0,2024,8,3,Aug,Monday,456.49,4701.29
ORD001002,CUST00741,Karen Carroll,whitney52@example.com,2024-07-03,2024-07-09 13:25:29.142857144,PROD181,Synchronized responsive project,Home & Garden,North,Milwaukee,7,51.89,0.0,363.23,PayPal,New,3.0,0,0,0,2024,7,3,Jul,Wednesday,51.89,2200.96
ORD001003,CUST00147,Rebecca Hanson,rfranklin@example.org,2023-06-16,2023-06-22 00:00:00.000000000,PROD755,Optional didactic framework,Clothing,West,Seattle,5,422.58,0.15,1795.96,Debit Card,Returning,3.0,1,0,0,2023,6,2,Jun,Friday,359.19,5761.91
ORD001004,CUST00645,Derrick Martinez,fphillips@example.net,2023-02-02,2023-02-08 00:00:00.000000000,PROD242,Open-architected high-level hierarchy,Clothing,North,Detroit,2,130.53,0.1,234.95,Credit Card,Returning,3.0,1,0,0,2023,2,1,Feb,Thursday,117.48,8828.42
ORD001005,CUST00097,Gloria Alexander,crystal78@example.com,2024-08-20,2024-08-27 00:00:00.000000000,PROD494,Future-proofed homogeneous monitoring,Clothing,Central,Nashville,3,308.17,0.0,924.51,Apple Pay,Returning,5.0,1,0,0,2024,8,3,Aug,Tuesday,308.17,5415.41
ORD001006,CUST00324,George Huff,gregorygalvan@example.net,2024-11-29,2024-12-08 00:00:00.000000000,PROD282,Multi-layered disintermediate model,Books,North,Chicago,6,71.37,0.05,406.81,Credit Card,VIP,3.0,1,0,0,2024,11,4,Nov,Friday,67.8,1153.73
ORD001007,CUST00040,Dr. Elizabeth Webster,dawn72@example.com,2023-06-06,2023-06-12 00:00:00.000000000,PROD346,Robust global customer loyalty,Books,Central,Denver,1,361.37,0.05,343.3,Credit Card,New,4.0,1,0,0,2023,6,2,Jun,Tuesday,343.3,7183.700000000001
ORD001008,CUST00867,John Robinson,michaelclark@example.org,2023-05-12,2023-05-23 00:00:00.000000000,PROD508,Multi-channeled upward-trending frame,Home & Garden,North,Detroit,3,162.71,0.2,390.5,Credit Card,New,5.0,1,0,0,2023,5,2,May,Friday,130.17,1858.5499999999997
ORD001009,CUST00452,Nicole Flynn,unknown,2023-09-11,2023-09-15 00:00:00.000000000,PROD438,Proactive real-time system engine,Electronics,West,Los Angeles,1,355.04,0.0,355.04,Debit Card,New,4.0,1,0,0,2023,9,3,Sep,Monday,355.04,11076.46
ORD001010,CUST00194,Bryan Johnson,krista39@example.org,2024-08-07,2024-08-17 00:00:00.000000000,PROD789,Customizable background concept,Home & Garden,South,Atlanta,8,485.46,0.0,3883.68,Credit Card,New,4.0,1,0,0,2024,8,3,Aug,Wednesday,485.46,6619.2699999999995
ORD001011,CUST00571,Tina Ortiz,sharondavis@example.org,2023-09-12,2023-09-16 00:00:00.000000000,PROD200,Automated global forecast,Electronics,East,New York,8,88.41,0.0,707.28,Credit Card,Returning,1.0,1,0,0,2023,9,3,Sep,Tuesday,88.41,10027.89
ORD001012,CUST00777,Laura Lewis,unknown,2024-02-21,2024-02-29 00:00:00.000000000,PROD813,Face-to-face empowering hierarchy,Home & Garden,South,Atlanta,7,541.95,0.0,3793.65,PayPal,Returning,3.0,1,0,0,2024,2,1,Feb,Wednesday,541.95,12968.16
