order_id,customer_id,customer_name,email,order_date,ship_date,product_id,product_name,category,region,city,quantity,unit_price,discount,revenue,payment_method,customer_segment,rating
ORD001000,CUST00179,William Villanueva,lewischristopher@example.org,2023-10-09,2023-10-13,PROD674,Persevering optimal methodology,Electronics,North,Chicago,2.0,407.64,0.1,733.75,credit card,Returning,4.0
ORD001001,CUST00866,Juan Lambert,kimberlyhendrix@example.net,2024-08-26,2024-08-31,PROD199,Business-focused well-modulated open architecture,Books,South,New Orleans,1.0,456.49,0.0,456.49,PayPal,Returning,
ORD001002,CUST00741,Karen Carroll,whitney52@example.com,2024-07-03,,PROD181,Synchronized responsive project,home & garden,North,Milwaukee,7.0,51.89,0.0,363.23,PAYPAL,New,3.0
ORD001003,CUST00147,Rebecca Hanson,rfranklin@example.org,2023-06-16,2023-06-22,PROD755,Optional didactic framework,Clothing,West,Seattle,5.0,422.58,0.15,1795.96,Debit Card,Returning,
ORD001004,CUST00645,Derrick Martinez,fphillips@example.net,2023-02-02,2023-02-08,PROD242,Open-architected high-level hierarchy,Clothing,North,Detroit,2.0,130.53,0.1,234.95,,Returning,
ORD001005,CUST00097,Gloria Alexander,crystal78@example.com,2024-08-20,2024-08-27,PROD494,Future-proofed homogeneous monitoring,Clothing,Central,Nashville,3.0,308.17,0.0,924.51,Apple Pay,Returning,5.0
ORD001006,CUST00324,George Huff,gregorygalvan@example.net,2024-11-29,2024-12-08,PROD282,Multi-layered disintermediate model,Books,North,Chicago,6.0,71.37,0.05,406.81,Credit Card,VIP,3.0
ORD001007,CUST00040,Dr. Elizabeth Webster,dawn72@example.com,2023-06-06,2023-06-12,PROD346,Robust global customer loyalty,Books,Central,Denver,1.0,361.37,0.05,343.3,Credit Card,New,4.0
ORD001008,CUST00867,John Robinson,michaelclark@example.org,2023-05-12,2023-05-23,PROD508,Multi-channeled upward-trending frame,Home & Garden,North,Detroit,3.0,162.71,0.2,390.5,credit card,New,5.0
ORD001009,CUST00452,Nicole Flynn,,2023-09-11,2023-09-15,PROD438,Proactive real-time system engine,Electronics,West,Los Angeles,1.0,355.04,0.0,355.04,Debit Card,New,4.0
ORD001010,CUST00194,Bryan Johnson,krista39@example.org,2024-08-07,2024-08-17,PROD789,Customizable background concept,Home & Garden,South,Atlanta,8.0,485.46,0.0,3883.68,credit card,New,4.0
ORD001011,CUST00571,Tina Ortiz,sharondavis@example.org,2023-09-12,2023-09-16,PROD200,Automated global forecast,Electronics,East,New York,8.0,88.41,0.0,707.28,,Returning,1.0
ORD001012,CUST00777,Laura Lewis,,2024-02-21,2024-02-29,PROD813,Face-to-face empowering hierarchy,Home & Garden,South,Atlanta,7.0,541.95,0.0,3793.65,PAYPAL,Returning,
ORD001013,CUST00125,Dr. Larry Long Jr.,yangronald@example.org,2023-07-14,2023-07-19,PROD261,Synergized high-level infrastructure,Electronics,West,San Francisco,1.0,349.61,0.1,314.65,,New,2.0
ORD001014,CUST00168,Daniel Potter,jennifer07@example.com,2024-11-22,2024-11-26,PROD833,Streamlined asynchronous encoding,Clothing,North,Chicago,4.0,349.46,0.0,1397.84,PayPal,New,
ORD001015,CUST01037,William Johnson,nicolejones@example.net,2023-11-20,2023-11-22,PROD261,Configurable high-level forecast,Electronics,East,Washington DC,2.0,48.59,0.0,97.18,,Returning,5.0
ORD001016,CUST00542,Martin Mahoney,brodgers@example.org,2024-11-14,2024-11-23,PROD834,Seamless systematic monitoring,Clothing,Central,Dallas,2.0,563.66,0.0,1127.32,credit card,Returning,3.0
ORD001017,CUST00008,Jessica Murray,juliescott@example.org,2023-09-15,2023-09-16,PROD822,Devolved object-oriented projection,Electronics,Central,Nashville,7.0,498.46,0.0,3489.22,Credit Card,New,
ORD001018,CUST00747,Troy Marquez,shahanna@example.org,2024-01-14,2024-01-24,PROD355,Seamless attitude-oriented encoding,Home & Garden,South,Houston,7.0,80.83,0.0,565.81,PayPal,Returning,
ORD001019,CUST00368,Cynthia Montoya,robersonjoseph@example.net,2023-08-31,2023-09-03,PROD930,Cross-group scalable Graphic Interface,home & garden,West,San Francisco,3.0,529.44,0.0,1588.32,Debit Card,Returning,1.0
ORD001020,CUST00467,Kathryn Khan,mking@example.org,2024-04-26,2024-04-30,PROD891,Open-source multi-tasking artificial intelligence,Electronics,West,Los Angeles,8.0,213.05,0.2,1363.52,credit card,Returning,
ORD001021,CUST00079,Valerie Smith,kaylajacobson@example.org,2023-01-29,2023-01-31,PROD623,Horizontal bottom-line conglomeration,electronics,Central,Kansas City,5.0,111.25,0.0,556.25,,New,1.0
ORD001022,CUST00677,Sean Davis,david75@example.net,2024-06-16,2024-06-25,PROD782,Visionary contextually-based protocol,Sports,West,Los Angeles,4.0,221.71,0.0,886.84,Apple Pay,Returning,5.0
ORD001023,CUST00832,Todd Harris,michael17@example.com,2024-03-06,2024-03-17,PROD576,Monitored bandwidth-monitored framework,CLOTHING,South,Atlanta,3.0,9303.71,0.0,1113.69,credit card,New,4.0
ORD001024,CUST00482,Pamela Miller,kelli27@example.com,2023-10-18,2023-10-27,PROD586,Distributed multimedia synergy,Sports,South,Houston,-6.0,60.57,0.2,-290.74,PAYPAL,New,4.0
ORD001025,CUST00012,Lori Chambers,william21@example.org,2024-12-14,2024-12-21,PROD923,Decentralized empowering throughput,Home & Garden,Central,Denver,4.0,92.8,0.15,315.52,,Returning,5.0
ORD001026,CUST01034,Terri Garrison,sellerslinda@example.org,2024-04-12,2024-04-15,PROD560,Assimilated client-server superstructure,Books,South,Houston,6.0,570.27,0.05,3250.54,Debit Card,Returning,3.0
ORD001027,CUST00557,Carol Smith,lfritz@example.com,2024-10-03,2024-10-07,PROD256,Virtual clear-thinking complexity,Clothing,Central,Nashville,2.0,429.56,0.0,859.12,Credit Card,Returning,3.0
ORD001028,CUST01197,Timothy Ford,jamesanderson@example.org,2024-03-01,2024-03-02,PROD405,Adaptive background knowledge user,Electronics,Central,Nashville,7.0,18209.85,0.2,1325.74,PAYPAL,VIP,
ORD001029,CUST00829,Carrie Hernandez,curtiskevin@example.org,2024-05-14,2024-05-18,PROD503,Business-focused zero-defect forecast,Clothing,West,San Francisco,8.0,22.27,0.0,178.16,credit card,New,
ORD001030,CUST00670,Michael Carr,edward80@example.com,2024-04-17,2024-04-20,PROD954,Persistent optimizing pricing structure,Electronics,West,San Francisco,7.0,199.77,0.05,1328.47,Credit Card,Returning,1.0
ORD001031,CUST00409,Nancy Baker,amack@example.org,2024-10-27,2024-10-29,PROD323,Optional needs-based migration,Books,East,Boston,1.0,453.77,0.0,453.77,PayPal,Returning,2.0
